id,ru,en
WEEKDAY_SHORT_MON,Пн,Mon
WEEKDAY_SHORT_TUE,Вт,Tue
WEEKDAY_SHORT_WED,Ср,Wed
WEEKDAY_SHORT_THU,Чт,Thu
WEEKDAY_SHORT_FRI,Пт,Fri
WEEKDAY_SHORT_SAT,Сб,Sat
WEEKDAY_SHORT_SUN,Вс,Sun
WEEKDAY_FULL_MON,Понедельник,Monday
WEEKDAY_FULL_TUE,Вторник,Tuesday
WEEKDAY_FULL_WED,Среда,Wednesday
WEEKDAY_FULL_THU,Четверг,Thursday
WEEKDAY_FULL_FRI,Пятница,Friday
WEEKDAY_FULL_SAT,Суббота,Saturday
WEEKDAY_FULL_SUN,Воскресенье,Sunday
DATE_FORMAT,"Мес. %d, День %d (%s)","Mo. %d, Day %d (%s)"
DATE_FORMAT_SHORT,"Мес. %d, День %d","Mo. %d, Day %d"
TRAIT_FAST_LEARNER,🧠 Быстрый ум,🧠 Fast Learner
TRAIT_ENERGIZER,⚡ Энерджайзер,⚡ Energizer
TRAIT_EARLY_BIRD,🐦 Ранняя пташка,🐦 Early Bird
TRAIT_CHEAP_HIRE,💰 Скромный,💰 Modest
TRAIT_TOILET_LOVER,🚽 Любит покакать,🚽 Toilet Lover
TRAIT_COFFEE_LOVER,☕ Кофеман,☕ Coffee Addict
TRAIT_SLOWPOKE,🐌 Тормоз,🐌 Slowpoke
TRAIT_EXPENSIVE,💸 Зазнайка,💸 Pricey
TRAIT_DESC_FAST_LEARNER,+20% к скорости работы на этапах проекта,+20% work speed on project stages
TRAIT_DESC_ENERGIZER,Энергия тратится на 30% медленнее,Energy drains 30% slower
TRAIT_DESC_EARLY_BIRD,Приходит на работу на 30-40 минут раньше,Arrives at work 30-40 minutes earlier
TRAIT_DESC_CHEAP_HIRE,Зарплата на 15% ниже,Salary is 15% lower
TRAIT_DESC_TOILET_LOVER,Сидит в туалете в 2 раза дольше,Spends 2x longer in the toilet
TRAIT_DESC_COFFEE_LOVER,Кофе-брейк длится в 2 раза дольше,Coffee break lasts 2x longer
TRAIT_DESC_SLOWPOKE,-20% к скорости работы на этапах проекта,-20% work speed on project stages
TRAIT_DESC_EXPENSIVE,Зарплата на 20% выше,Salary is 20% higher
EMPLOYEE_DEFAULT_NAME,Новичок,Rookie
